Cirrus|2019|5|485|999,999
Cirrus|2019|5|466|999,999
Cirrus|2018|5|635|1,050,000
Cirrus|2019|5|790|949,000
Cirrus|2020|5|375|999,000
Robin|1972|4|4395|55,000
Cirrus|2021|5|675|959,000
Cirrus|2021|5|310|1,250,000
Tecnam|2015|4|643|279,995
Aviat Aircraft|2021|4|37|449,000
Bucker|1957|2|2266|95,000
Tecnam|2018|2|600|117,000
Rockwell Commander|1977|4|1599|120,000
Piper|1982|4|3390|130,000
Piper|1967|4|12158|35,000
Cessna|1968|2|15742|35,000
Cessna Turbo T206H Stationair|2001|6|2273|415,000
Beechcraft|1978|6|2515|269,000
Robin|0|2|4004|29,999
Diamond|2001|4|4348|159,000
Piper|2007|6|1300|499,000
Cessna 182|2006|0|5429|263,495
Cessna 182|2007|4|5023|277,995
Cessna 182|2008|4|4821|283,995
Piper|1978|4|4843|61,000
Piper|1966|4|6364|68,000
Cessna 182T|2005|4|4870|380,000
Cessna 182T|2005|4|3640|270,000
Socata|1993|4|3250|325,000
Mooney|1998|4|1450|250,000
Gardan|1971|2|1659|18,000
Cirrus|2002|4|1590|180,000
Blackshape|2016|2|740|170,000
Cirrus|2021|4|210|779,000
Cirrus|2008|4|1396|330,000
Cirrus|2004|4|1850|192,000
Cirrus|2020|4|125|1,125,000
Cirrus|2017|4|480|915,000
Piper|2023|6|0|1,291,765
Piper|2023|4|0|506,883
Piper|2023|4|0|449,803
Cirrus|2002|4|2140|299,00
Cirrus|2005|4|1525|349,000
Cirrus|2006|4|932|410,000
Cirrus|2006|4|1671|399,000
Cirrus|2018|5|1650|595,000
Cirrus|2008|4|1428|449,000
Cirrus|2015|5|535|799,000
Cirrus|2016|5|910|839,000
Cirrus|2017|5|395|995,000
Cirrus|2017|5|800|899,000
Cirrus|2019|5|740|1,175,000
PA28-180 Archer LX|2022|4|Delivery Time Only|449,803
PA46 Malibu Mirage|2008|6|2762|515,000
Mooney|1986|4|4132|31,000
PA46 Malibu Mirage|1992|6|2950|465,000
Cessna 182H|1965|4|4000|110,000
Cirrus|2009|4|430|599,000
Cirrus|2009|4|2025|599,900
Cirrus|2010|4|2950|610,000
Cessna 400|2008|4|1565|399,000
Cirrus|2008|4|1760|550,000
Cessna 182T|2008|4|285|639,500
Cirrus|2014|5|1340|779,000
Cirrus|2008|4|1290|489,000
Cirrus|2016|5|985|829,000
Cirrus|2017|5|680|899,000
Cirrus|2018|5|350|990,000
Cirrus|2018|6|1590|849,000
Cirrus SR22 G6 Models|2018|5|475|995,000
Cessna Turbo T206H Stationair|2018|4|190|875,000
Cirrus|2005|4|1160|279,000
Cirrus|2019|4|390|1,095,000
Cirrus|2002|4|2110|299,000
Cirrus|2006|4|1075|399,000
Cirrus|2019|5|635|1,090,000
Cirrus|2006|4|1725|425,000
Beechcraft|1975|6|4575|145,000
Cirrus|2019|4|335|1,099,000
Beechcraft|2006|6|625|784,500
Cessna R182|1979|4|5105|139,500
Cirrus|2004|4|2435|249,000
Cirrus|2019|5|555|1,025,000
Cirrus|2019|4|775|995,000
Cirrus|2019|4|865|945,000
Cirrus|2020|5|156|1,150,000
Cirrus|2021|5|125|1,174,000
Piper|1978|6|2850|159,950
Fairchild|1947|2|0|165,000
Cessna 182Q Skylane|1979|4|4700|149,950
Lancair|1993|2|1082|43,000
Cessna 182Q Skylane|1979|4|3650|169,000
Luscombe|1940|2|2578|47,500
Piper|1944|2|8209|62,000
Diamond|2003|2|2991|275,000
Piper|1995|4|1243|155,000
Piper|2000|4|4443|215,000
Piper|2006|4|1999|315,000
Robinson|2008|4|2660|348,000
Cessna 340A II|0|6|1200|229,995
Cessna 402B|1975|2|12800|169,995
Diamond|2007|4|0|285,000
